ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42758779,2026.05.27 08:37:11,sell,0.02,xauusd,4499.81,0.00,4497.14,2026.05.27 08:41:13,4497.14,0.00,0.00,0.00,5.34
42758932,2026.05.27 08:41:14,sell,0.01,xauusd,4496.56,0.00,4493.56,2026.05.27 08:42:25,4493.56,0.00,0.00,0.00,3.00
42758957,2026.05.27 08:41:15,buy,0.02,xauusd,4496.47,0.00,4496.79,2026.05.27 08:49:34,4496.79,0.00,0.00,0.00,0.64
42759158,2026.05.27 08:42:25,sell,0.01,xauusd,4493.07,0.00,4495.83,2026.05.27 09:00:55,4495.83,0.00,0.00,0.00,-2.76
42759183,2026.05.27 08:42:29,buy,0.02,xauusd,4493.18,0.00,4496.79,2026.05.27 08:49:34,4496.79,0.00,0.00,0.00,7.22
42759485,2026.05.27 08:49:29,sell,0.02,xauusd,4496.35,0.00,4495.83,2026.05.27 09:00:55,4495.83,0.00,0.00,0.00,1.04
42759496,2026.05.27 08:49:34,buy,0.01,xauusd,4497.26,0.00,4500.26,2026.05.27 08:51:01,4500.26,0.00,0.00,0.00,3.00
42759672,2026.05.27 08:50:18,sell,0.02,xauusd,4499.19,0.00,4495.83,2026.05.27 09:00:55,4495.83,0.00,0.00,0.00,6.72
42759723,2026.05.27 08:51:02,buy,0.01,xauusd,4500.75,0.00,4499.93,2026.05.27 09:01:45,4496.58,0.00,0.00,0.00,-4.17
42759907,2026.05.27 08:53:16,buy,0.02,xauusd,4497.27,0.00,4499.93,2026.05.27 09:01:46,4496.56,0.00,0.00,0.00,-1.42
42760205,2026.05.27 09:00:56,sell,0.01,xauusd,4495.57,0.00,4492.57,2026.05.27 09:01:47,4496.68,0.00,0.00,0.00,-1.11
42796697,2026.05.28 05:30:42,buy,0.01,xauusd,4409.27,0.00,4408.37,2026.05.28 05:34:02,4408.37,0.00,0.00,0.00,-0.90
42796698,2026.05.28 05:30:43,sell,0.01,xauusd,4408.75,0.00,4405.75,2026.05.28 05:31:51,4405.75,0.00,0.00,0.00,3.00
42796724,2026.05.28 05:31:51,buy,0.02,xauusd,4405.67,0.00,4408.37,2026.05.28 05:34:02,4408.37,0.00,0.00,0.00,5.40
42796740,2026.05.28 05:31:51,sell,0.01,xauusd,4405.00,0.00,4406.65,2026.05.28 05:36:12,4406.65,0.00,0.00,0.00,-1.65
42796832,2026.05.28 05:34:02,buy,0.01,xauusd,4410.26,0.00,4398.71,2026.05.28 05:56:46,4398.71,0.00,0.00,0.00,-11.55
42796850,2026.05.28 05:34:02,sell,0.02,xauusd,4409.72,0.00,4406.65,2026.05.28 05:36:12,4406.65,0.00,0.00,0.00,6.14
42796930,2026.05.28 05:36:12,buy,0.02,xauusd,4406.86,0.00,4398.71,2026.05.28 05:56:46,4398.71,0.00,0.00,0.00,-16.30
